category_id,id,group_name,category_name,category_description,count
physics.space-ph,1806,Physics,Space Physics,"Space plasma physics. Heliophysics. Space weather. Planetary magnetospheres, ionospheres and magnetotail. Auroras. Interplanetary space. Cosmic rays. Synchrotron radiation. Radio astronomy.",1806
cs.AR,1761,Computer Science,Hardware Architecture,"Covers systems organization and hardware architecture. Roughly includes material in ACM Subject Classes C.0, C.1, and C.5.",1761
cs.GR,1657,Computer Science,Graphics,"Covers all aspects of computer graphics. Roughly includes material in all of ACM Subject Class I.3, except that I.3.5 is is likely to have Computational Geometry as the primary subject area.",1657
cs.MM,1642,Computer Science,Multimedia,Roughly includes material in ACM Subject Class H.5.1.,1642
q-bio.CB,1497,Quantitative Biology,Cell Behavior,Cell-cell signaling and interaction; morphogenesis and development; apoptosis; bacterial conjugation; viral-host interaction; immunology,1497
q-fin.MF,1460,Quantitative Finance,Mathematical Finance,"Mathematical and analytical methods of finance, including stochastic, probabilistic and functional analysis, algebraic, geometric and other methods",1460
q-bio.TO,1453,Quantitative Biology,Tissues and Organs,"Blood flow in vessels, biomechanics of bones, electrical waves, endocrine system, tumor growth",1453
cs.SC,1428,Computer Science,Symbolic Computation,Roughly includes material in ACM Subject Class I.1.,1428
q-alg,1404,,,,1404
alg-geom,1358,,,,1358
q-fin.PR,1287,Quantitative Finance,Pricing of Securities,"Valuation and hedging of financial securities, their derivatives, and structured products",1287
q-fin.CP,1256,Quantitative Finance,Computational Finance,"Computational methods, including Monte Carlo, PDE, lattice and other numerical methods with applications to financial modeling",1256
q-fin.RM,1244,Quantitative Finance,Risk Management,"Measurement and management of financial risks in trading, banking, insurance, corporate and other applications",1244
solv-int,1205,,,,1205
physics.pop-ph,1199,Physics,Popular Physics,Description coming soon,1199
q-bio.SC,1172,Quantitative Biology,Subcellular Processes,"Assembly and control of subcellular structures (channels, organelles, cytoskeletons, capsules, etc.); molecular motors, transport, subcellular localization; mitosis and meiosis",1172
physics.atm-clus,1153,Physics,Atomic and Molecular Clusters,"Atomic and molecular clusters, nanoparticles: geometric, electronic, optical, chemical, magnetic properties, shell structure, phase transitions, optical spectroscopy, mass spectrometry, photoelectron spectroscopy, ionization potential, electron affinity, interaction with intense light pulses, electron diffraction, light scattering, ab initio calculations, DFT theory, fragmentation, Coulomb explosion, hydrodynamic expansion.",1153
cs.MS,1123,Computer Science,Mathematical Software,Roughly includes material in ACM Subject Class G.4.,1123
q-fin.TR,1100,Quantitative Finance,Trading and Market Microstructure,"Market microstructure, liquidity, exchange and auction design, automated trading, agent-based modeling and market-making",1100
econ.TH,1098,Economics,Theoretical Economics,"Includes theoretical contributions to Contract Theory, Decision Theory, Game Theory, General Equilibrium, Growth, Learning and Evolution, Macroeconomics, Market and Mechanism Design, and Social Choice.",1098
q-bio,1070,,,,1070
q-fin.PM,1062,Quantitative Finance,Portfolio Management,"Security selection and optimization, capital allocation, investment strategies and performance measurement",1062
cs.PF,1031,Computer Science,Performance,"Covers performance measurement and evaluation, queueing, and simulation. Roughly includes material in ACM Subject Classes D.4.8 and K.6.2.",1031
q-bio.OT,905,Quantitative Biology,Other Quantitative Biology,Work in quantitative biology that does not fit into the other q-bio classifications,905
cmp-lg,894,,,,894
nlin.CG,798,Physics,Cellular Automata and Lattice Gases,"computational methods, time series analysis, signal processing, wavelets, lattice gases",798
stat.OT,721,Statistics,Other Statistics,Work in statistics that does not fit into the other stat classifications,721
dg-ga,646,,,,646
patt-sol,520,,,,520
adap-org,453,,,,453
funct-an,372,,,,372
cs.OS,371,Computer Science,Operating Systems,"Roughly includes material in ACM Subject Classes D.4.1, D.4.2., D.4.3, D.4.4, D.4.5, D.4.7, and D.4.9.",371
comp-gas,173,,,,173
mtrl-th,165,,,,165
chem-ph,145,,,,145
cs.GL,111,Computer Science,General Literature,"Covers introductory material, survey material, predictions of future trends, biographies, and miscellaneous computer-science related material. Roughly includes all of ACM Subject Class A, except it does not include conference proceedings (which will be listed in the appropriate subject area).",111
atom-ph,98,,,,98
supr-con,73,,,,73
acc-phys,49,,,,49
plasm-ph,29,,,,29
ao-sci,13,,,,13
bayes-an,11,,,,11
