year,id,references,title,abstract,authors,journal-ref,group_name,group_name_uq
2001,hep-th/9908142,275,String Theory and Noncommutative Geometry,"  We extend earlier ideas about the appearance of noncommutative geometry in
string theory with a nonzero B-field. We identify a limit in which the entire
string dynamics is described by a minimally coupled (supersymmetric) gauge
theory on a noncommutative space, and discuss the corrections away from this
limit. Our analysis leads us to an equivalence between ordinary gauge fields
and noncommutative gauge fields, which is realized by a change of variables
that can be described explicitly. This change of variables is checked by
comparing the ordinary Dirac-Born-Infeld theory with its noncommutative
counterpart. We obtain a new perspective on noncommutative gauge theory on a
torus, its T-duality, and Morita equivalence. We also discuss the D0/D4 system,
the relation to M-theory in DLCQ, and a possible noncommutative version of the
six-dimensional (2,0) theory.
",Nathan Seiberg and Edward Witten,"JHEP 9909:032,1999",Physics,"Physics,Mathematics"
2000,hep-th/9906064,246,An Alternative to Compactification,"  Conventional wisdom states that Newton's force law implies only four
non-compact dimensions. We demonstrate that this is not necessarily true in the
presence of a non-factorizable background geometry. The specific example we
study is a single 3-brane embedded in five dimensions. We show that even
without a gap in the Kaluza-Klein spectrum, four-dimensional Newtonian and
general relativistic gravity is reproduced to more than adequate precision.
","Lisa Randall, Raman Sundrum","Phys.Rev.Lett.83:4690-4693,1999",Physics,Physics
2001,hep-th/9906064,250,An Alternative to Compactification,"  Conventional wisdom states that Newton's force law implies only four
non-compact dimensions. We demonstrate that this is not necessarily true in the
presence of a non-factorizable background geometry. The specific example we
study is a single 3-brane embedded in five dimensions. We show that even
without a gap in the Kaluza-Klein spectrum, four-dimensional Newtonian and
general relativistic gravity is reproduced to more than adequate precision.
","Lisa Randall, Raman Sundrum","Phys.Rev.Lett.83:4690-4693,1999",Physics,Physics
2002,hep-th/0202021,260,Strings in flat space and pp waves from ${\cal N}=4$ Super Yang Mills,"  We explain how the string spectrum in flat space and pp-waves arises from the
large $N$ limit, at fixed $g^2_{YM}$, of U(N) ${\cal N} =4$ super Yang Mills.
We reproduce the spectrum by summing a subset of the planar Feynman diagrams.
We give a heuristic argument for why we can neglect other diagrams. We also
discuss some other aspects of pp-waves and we present a matrix model associated
to the DLCQ description of the maximally supersymmetric eleven dimensional
pp-waves.
","David Berenstein, Juan Maldacena and Horatiu Nastase",JHEP 0204 (2002) 013,Physics,Physics
2003,astro-ph/0302209,362,"First Year Wilkinson Microwave Anisotropy Probe (WMAP) Observations:
  Determination of Cosmological Parameters","  WMAP precision data enables accurate testing of cosmological models. We find
that the emerging standard model of cosmology, a flat Lambda-dominated universe
seeded by nearly scale-invariant adiabatic Gaussian fluctuations, fits the WMAP
data. With parameters fixed only by WMAP data, we can fit finer scale CMB
measurements and measurements of large scle structure (galaxy surveys and the
Lyman alpha forest). This simple model is also consistent with a host of other
astronomical measurements. We then fit the model parameters to a combination of
WMAP data with other finer scale CMB experiments (ACBAR and CBI), 2dFGRS
measurements and Lyman alpha forest data to find the model's best fit
cosmological parameters: h=0.71+0.04-0.03, Omega_b h^2=0.0224+-0.0009, Omega_m
h^2=0.135+0.008-0.009, tau=0.17+-0.06, n_s(0.05/Mpc)=0.93+-0.03, and
sigma_8=0.84+-0.04. WMAP's best determination of tau=0.17+-0.04 arises directly
from the TE data and not from this model fit, but they are consistent. These
parameters imply that the age of the universe is 13.7+-0.2 Gyr. The data favors
but does not require a slowly varying spectral index. By combining WMAP data
with other astronomical data sets, we constrain the geometry of the universe,
Omega_tot = 1.02 +- 0.02, the equation of state of the dark energy w < -0.78
(95% confidence limit assuming w >= -1), and the energy density in stable
neutrinos, Omega_nu h^2 < 0.0076 (95% confidence limit). For 3 degenerate
neutrino species, this limit implies that their mass is less than 0.23 eV (95%
confidence limit). The WMAP detection of early reionization rules out warm dark
matter.
","D. N. Spergel (1), L. Verde (1), H. V. Peiris (1), E. Komatsu (1), M.
  R. Nolta (1), C. L. Bennett (2), M. Halpern (4), G. Hinshaw (2), N. Jarosik
  (1), A. Kogut (2), M. Limon (2), S. S. Meyer (5), L. Page (1), G. S. Tucker
  (2), J. L. Weiland (7), E. Wollack (2), E. L. Wright (8) ((1) Princeton, (3)
  NASA's GSFC, (4) UBC, (5) U. Chicaco, (6) Brown, (7) SSAI, (8) UCLA)","Astrophys.J.Suppl.148:175-194,2003",Physics,Physics
2004,astro-ph/0302209,332,"First Year Wilkinson Microwave Anisotropy Probe (WMAP) Observations:
  Determination of Cosmological Parameters","  WMAP precision data enables accurate testing of cosmological models. We find
that the emerging standard model of cosmology, a flat Lambda-dominated universe
seeded by nearly scale-invariant adiabatic Gaussian fluctuations, fits the WMAP
data. With parameters fixed only by WMAP data, we can fit finer scale CMB
measurements and measurements of large scle structure (galaxy surveys and the
Lyman alpha forest). This simple model is also consistent with a host of other
astronomical measurements. We then fit the model parameters to a combination of
WMAP data with other finer scale CMB experiments (ACBAR and CBI), 2dFGRS
measurements and Lyman alpha forest data to find the model's best fit
cosmological parameters: h=0.71+0.04-0.03, Omega_b h^2=0.0224+-0.0009, Omega_m
h^2=0.135+0.008-0.009, tau=0.17+-0.06, n_s(0.05/Mpc)=0.93+-0.03, and
sigma_8=0.84+-0.04. WMAP's best determination of tau=0.17+-0.04 arises directly
from the TE data and not from this model fit, but they are consistent. These
parameters imply that the age of the universe is 13.7+-0.2 Gyr. The data favors
but does not require a slowly varying spectral index. By combining WMAP data
with other astronomical data sets, we constrain the geometry of the universe,
Omega_tot = 1.02 +- 0.02, the equation of state of the dark energy w < -0.78
(95% confidence limit assuming w >= -1), and the energy density in stable
neutrinos, Omega_nu h^2 < 0.0076 (95% confidence limit). For 3 degenerate
neutrino species, this limit implies that their mass is less than 0.23 eV (95%
confidence limit). The WMAP detection of early reionization rules out warm dark
matter.
","D. N. Spergel (1), L. Verde (1), H. V. Peiris (1), E. Komatsu (1), M.
  R. Nolta (1), C. L. Bennett (2), M. Halpern (4), G. Hinshaw (2), N. Jarosik
  (1), A. Kogut (2), M. Limon (2), S. S. Meyer (5), L. Page (1), G. S. Tucker
  (2), J. L. Weiland (7), E. Wollack (2), E. L. Wright (8) ((1) Princeton, (3)
  NASA's GSFC, (4) UBC, (5) U. Chicaco, (6) Brown, (7) SSAI, (8) UCLA)","Astrophys.J.Suppl.148:175-194,2003",Physics,Physics
2005,astro-ph/0302209,260,"First Year Wilkinson Microwave Anisotropy Probe (WMAP) Observations:
  Determination of Cosmological Parameters","  WMAP precision data enables accurate testing of cosmological models. We find
that the emerging standard model of cosmology, a flat Lambda-dominated universe
seeded by nearly scale-invariant adiabatic Gaussian fluctuations, fits the WMAP
data. With parameters fixed only by WMAP data, we can fit finer scale CMB
measurements and measurements of large scle structure (galaxy surveys and the
Lyman alpha forest). This simple model is also consistent with a host of other
astronomical measurements. We then fit the model parameters to a combination of
WMAP data with other finer scale CMB experiments (ACBAR and CBI), 2dFGRS
measurements and Lyman alpha forest data to find the model's best fit
cosmological parameters: h=0.71+0.04-0.03, Omega_b h^2=0.0224+-0.0009, Omega_m
h^2=0.135+0.008-0.009, tau=0.17+-0.06, n_s(0.05/Mpc)=0.93+-0.03, and
sigma_8=0.84+-0.04. WMAP's best determination of tau=0.17+-0.04 arises directly
from the TE data and not from this model fit, but they are consistent. These
parameters imply that the age of the universe is 13.7+-0.2 Gyr. The data favors
but does not require a slowly varying spectral index. By combining WMAP data
with other astronomical data sets, we constrain the geometry of the universe,
Omega_tot = 1.02 +- 0.02, the equation of state of the dark energy w < -0.78
(95% confidence limit assuming w >= -1), and the energy density in stable
neutrinos, Omega_nu h^2 < 0.0076 (95% confidence limit). For 3 degenerate
neutrino species, this limit implies that their mass is less than 0.23 eV (95%
confidence limit). The WMAP detection of early reionization rules out warm dark
matter.
","D. N. Spergel (1), L. Verde (1), H. V. Peiris (1), E. Komatsu (1), M.
  R. Nolta (1), C. L. Bennett (2), M. Halpern (4), G. Hinshaw (2), N. Jarosik
  (1), A. Kogut (2), M. Limon (2), S. S. Meyer (5), L. Page (1), G. S. Tucker
  (2), J. L. Weiland (7), E. Wollack (2), E. L. Wright (8) ((1) Princeton, (3)
  NASA's GSFC, (4) UBC, (5) U. Chicaco, (6) Brown, (7) SSAI, (8) UCLA)","Astrophys.J.Suppl.148:175-194,2003",Physics,Physics
2004,hep-ph/9905221,220,A Large Mass Hierarchy from a Small Extra Dimension,"  We propose a new higher-dimensional mechanism for solving the Hierarchy
Problem. The Weak scale is generated from a large scale of order the Planck
scale through an exponential hierarchy. However, this exponential arises not
from gauge interactions but from the background metric (which is a slice of
AdS_5 spacetime). This mechanism relies on the existence of only a single
additional dimension. We demonstrate a simple explicit example of this
mechanism with two three-branes, one of which contains the Standard Model
fields. The experimental consequences of this scenario are new and dramatic.
There are fundamental spin-2 excitations with mass of weak scale order, which
are coupled with weak scale as opposed to gravitational strength to the
standard model particles. The phenomenology of these models is quite distinct
from that of large extra dimension scenarios; none of the current constraints
on theories with very large extra dimensions apply.
","Lisa Randall, Raman Sundrum","Phys.Rev.Lett.83:3370-3373,1999",Physics,Physics
2006,astro-ph/0603449,525,"Wilkinson Microwave Anisotropy Probe (WMAP) Three Year Results:
  Implications for Cosmology","  A simple cosmological model with only six parameters (matter density, Omega_m
h^2, baryon density, Omega_b h^2, Hubble Constant, H_0, amplitude of
fluctuations, sigma_8, optical depth, tau, and a slope for the scalar
perturbation spectrum, n_s) fits not only the three year WMAP temperature and
polarization data, but also small scale CMB data, light element abundances,
large-scale structure observations, and the supernova luminosity/distance
relationship. Using WMAP data only, the best fit values for cosmological
parameters for the power-law flat LCDM model are (Omega_m h^2, Omega_b h^2, h,
n_s, tau, sigma_8) = 0.1277+0.0080-0.0079, 0.02229+-0.00073, 0.732+0.031-0.032,
0.958+-0.016, 0.089+-0.030, 0.761+0.049-0.048). The three year data
dramatically shrink the allowed volume in this six dimensional parameter space.
Assuming that the primordial fluctuations are adiabatic with a power law
spectrum, the WMAP data_alone_ require dark matter, and favor a spectral index
that is significantly less than the Harrison-Zel'dovich-Peebles scale-invariant
spectrum (n_s=1, r=0). Models that suppress large-scale power through a running
spectral index or a large-scale cut-off in the power spectrum are a better fit
to the WMAP and small scale CMB data than the power-law LCDM model; however,
the improvement in the fit to the WMAP data is only Delta chi^2 = 3 for 1 extra
degree of freedom. The combination of WMAP and other astronomical data yields
significant constraints on the geometry of the universe, the equation of state
of the dark energy, the gravitational wave energy density, and neutrino
properties. Consistent with the predictions of simple inflationary theories, we
detect no significant deviations from Gaussianity in the CMB maps.
","D. N. Spergel, R. Bean, O. Dor\'e, M. R. Nolta, C. L. Bennett, J.
  Dunkley, G. Hinshaw, N. Jarosik, E. Komatsu, L. Page, H. V. Peiris, L. Verde,
  M. Halpern, R. S. Hill, A. Kogut, M. Limon, S. S. Meyer, N. Odegard, G. S.
  Tucker, J. L. Weiland, E. Wollack, E. L. Wright","Astrophys.J.Suppl.170:377,2007",Physics,Physics
2007,astro-ph/0603449,580,"Wilkinson Microwave Anisotropy Probe (WMAP) Three Year Results:
  Implications for Cosmology","  A simple cosmological model with only six parameters (matter density, Omega_m
h^2, baryon density, Omega_b h^2, Hubble Constant, H_0, amplitude of
fluctuations, sigma_8, optical depth, tau, and a slope for the scalar
perturbation spectrum, n_s) fits not only the three year WMAP temperature and
polarization data, but also small scale CMB data, light element abundances,
large-scale structure observations, and the supernova luminosity/distance
relationship. Using WMAP data only, the best fit values for cosmological
parameters for the power-law flat LCDM model are (Omega_m h^2, Omega_b h^2, h,
n_s, tau, sigma_8) = 0.1277+0.0080-0.0079, 0.02229+-0.00073, 0.732+0.031-0.032,
0.958+-0.016, 0.089+-0.030, 0.761+0.049-0.048). The three year data
dramatically shrink the allowed volume in this six dimensional parameter space.
Assuming that the primordial fluctuations are adiabatic with a power law
spectrum, the WMAP data_alone_ require dark matter, and favor a spectral index
that is significantly less than the Harrison-Zel'dovich-Peebles scale-invariant
spectrum (n_s=1, r=0). Models that suppress large-scale power through a running
spectral index or a large-scale cut-off in the power spectrum are a better fit
to the WMAP and small scale CMB data than the power-law LCDM model; however,
the improvement in the fit to the WMAP data is only Delta chi^2 = 3 for 1 extra
degree of freedom. The combination of WMAP and other astronomical data yields
significant constraints on the geometry of the universe, the equation of state
of the dark energy, the gravitational wave energy density, and neutrino
properties. Consistent with the predictions of simple inflationary theories, we
detect no significant deviations from Gaussianity in the CMB maps.
","D. N. Spergel, R. Bean, O. Dor\'e, M. R. Nolta, C. L. Bennett, J.
  Dunkley, G. Hinshaw, N. Jarosik, E. Komatsu, L. Page, H. V. Peiris, L. Verde,
  M. Halpern, R. S. Hill, A. Kogut, M. Limon, S. S. Meyer, N. Odegard, G. S.
  Tucker, J. L. Weiland, E. Wollack, E. L. Wright","Astrophys.J.Suppl.170:377,2007",Physics,Physics
2008,0803.0547,410,"Five-Year Wilkinson Microwave Anisotropy Probe (WMAP) Observations:
  Cosmological Interpretation","  (Abridged) The WMAP 5-year data strongly limit deviations from the minimal
LCDM model. We constrain the physics of inflation via Gaussianity,
adiabaticity, the power spectrum shape, gravitational waves, and spatial
curvature. We also constrain the properties of dark energy, parity-violation,
and neutrinos. We detect no convincing deviations from the minimal model. The
parameters of the LCDM model, derived from WMAP combined with the distance
measurements from the Type Ia supernovae (SN) and the Baryon Acoustic
Oscillations (BAO), are: Omega_b=0.0456+-0.0015, Omega_c=0.228+-0.013,
Omega_Lambda=0.726+-0.015, H_0=70.5+-1.3 km/s/Mpc, n_s=0.960+-0.013,
tau=0.084+-0.016, and sigma_8=0.812+-0.026. With WMAP+BAO+SN, we find the
tensor-to-scalar ratio r<0.22 (95% CL), and n_s>1 is disfavored regardless of
r. We obtain tight, simultaneous limits on the (constant) equation of state of
dark energy and curvature. We provide a set of ""WMAP distance priors,"" to test
a variety of dark energy models. We test a time-dependent w with a present
value constrained as -0.33<1+w_0<0.21 (95% CL). Temperature and matter
fluctuations obey the adiabatic relation to within 8.9% and 2.1% for the axion
and curvaton-type dark matter, respectively. The TE and EB spectra constrain
cosmic parity-violation. We find the limit on the total mass of neutrinos,
sum(m_nu)<0.67 eV (95% CL), which is free from the uncertainty in the
normalization of the large-scale structure data. The effective number of
neutrino species is constrained as N_{eff} = 4.4+-1.5 (68%), consistent with
the standard value of 3.04. Finally, limits on primordial non-Gaussianity are
-9<f_{NL}^{local}<111 and -151<f_{NL}^{equil}<253 (95% CL) for the local and
equilateral models, respectively.
","E. Komatsu, J. Dunkley, M. R. Nolta, C. L. Bennett, B. Gold, G.
  Hinshaw, N. Jarosik, D. Larson, M. Limon, L. Page, D. N. Spergel, M. Halpern,
  R. S. Hill, A. Kogut, S. S. Meyer, G. S. Tucker, J. L. Weiland, E. Wollack,
  E. L. Wright","Astrophys.J.Suppl.180:330-376,2009",Physics,Physics
2009,0803.0547,645,"Five-Year Wilkinson Microwave Anisotropy Probe (WMAP) Observations:
  Cosmological Interpretation","  (Abridged) The WMAP 5-year data strongly limit deviations from the minimal
LCDM model. We constrain the physics of inflation via Gaussianity,
adiabaticity, the power spectrum shape, gravitational waves, and spatial
curvature. We also constrain the properties of dark energy, parity-violation,
and neutrinos. We detect no convincing deviations from the minimal model. The
parameters of the LCDM model, derived from WMAP combined with the distance
measurements from the Type Ia supernovae (SN) and the Baryon Acoustic
Oscillations (BAO), are: Omega_b=0.0456+-0.0015, Omega_c=0.228+-0.013,
Omega_Lambda=0.726+-0.015, H_0=70.5+-1.3 km/s/Mpc, n_s=0.960+-0.013,
tau=0.084+-0.016, and sigma_8=0.812+-0.026. With WMAP+BAO+SN, we find the
tensor-to-scalar ratio r<0.22 (95% CL), and n_s>1 is disfavored regardless of
r. We obtain tight, simultaneous limits on the (constant) equation of state of
dark energy and curvature. We provide a set of ""WMAP distance priors,"" to test
a variety of dark energy models. We test a time-dependent w with a present
value constrained as -0.33<1+w_0<0.21 (95% CL). Temperature and matter
fluctuations obey the adiabatic relation to within 8.9% and 2.1% for the axion
and curvaton-type dark matter, respectively. The TE and EB spectra constrain
cosmic parity-violation. We find the limit on the total mass of neutrinos,
sum(m_nu)<0.67 eV (95% CL), which is free from the uncertainty in the
normalization of the large-scale structure data. The effective number of
neutrino species is constrained as N_{eff} = 4.4+-1.5 (68%), consistent with
the standard value of 3.04. Finally, limits on primordial non-Gaussianity are
-9<f_{NL}^{local}<111 and -151<f_{NL}^{equil}<253 (95% CL) for the local and
equilateral models, respectively.
","E. Komatsu, J. Dunkley, M. R. Nolta, C. L. Bennett, B. Gold, G.
  Hinshaw, N. Jarosik, D. Larson, M. Limon, L. Page, D. N. Spergel, M. Halpern,
  R. S. Hill, A. Kogut, S. S. Meyer, G. S. Tucker, J. L. Weiland, E. Wollack,
  E. L. Wright","Astrophys.J.Suppl.180:330-376,2009",Physics,Physics
2010,1001.4538,743,"Seven-Year Wilkinson Microwave Anisotropy Probe (WMAP) Observations:
  Cosmological Interpretation","  (Abridged) The 7-year WMAP data and improved astrophysical data rigorously
test the standard cosmological model and its extensions. By combining WMAP with
the latest distance measurements from BAO and H0 measurement, we determine the
parameters of the simplest LCDM model. The power-law index of the primordial
power spectrum is n_s=0.968+-0.012, a measurement that excludes the
scale-invariant spectrum by 99.5%CL. The other parameters are also improved
from the 5-year results. Notable examples of improved parameters are the total
mass of neutrinos, sum(m_nu)<0.58eV, and the effective number of neutrino
species, N_eff=4.34+0.86-0.88. We detect the effect of primordial helium on the
temperature power spectrum and provide a new test of big bang nucleosynthesis.
We detect, and show on the map for the first time, the tangential and radial
polarization patterns around hot and cold spots of temperature fluctuations, an
important test of physical processes at z=1090 and the dominance of adiabatic
scalar fluctuations. With the 7-year TB power spectrum, the limit on a rotation
of the polarization plane due to potential parity-violating effects has
improved to Delta(alpha)=-1.1+-1.4(stat)+-1.5(syst) degrees. We report
significant detections of the SZ effect at the locations of known clusters of
galaxies. The measured SZ signal agrees well with the expected signal from the
X-ray data. However, it is a factor of 0.5 to 0.7 times the predictions from
""universal profile"" of Arnaud et al., analytical models, and hydrodynamical
simulations. We find, for the first time in the SZ effect, a significant
difference between the cooling-flow and non-cooling-flow clusters (or relaxed
and non-relaxed clusters), which can explain some of the discrepancy. This
lower amplitude is consistent with the lower-than-theoretically-expected SZ
power spectrum recently measured by the South Pole Telescope collaboration.
","E. Komatsu, K. M. Smith, J. Dunkley, C. L. Bennett, B. Gold, G.
  Hinshaw, N. Jarosik, D. Larson, M. R. Nolta, L. Page, D. N. Spergel, M.
  Halpern, R. S. Hill, A. Kogut, M. Limon, S. S. Meyer, N. Odegard, G. S.
  Tucker, J. L. Weiland, E. Wollack, E. L. Wright","Astrophys.J.Suppl.192:18,2011",Physics,Physics
2011,1001.4538,649,"Seven-Year Wilkinson Microwave Anisotropy Probe (WMAP) Observations:
  Cosmological Interpretation","  (Abridged) The 7-year WMAP data and improved astrophysical data rigorously
test the standard cosmological model and its extensions. By combining WMAP with
the latest distance measurements from BAO and H0 measurement, we determine the
parameters of the simplest LCDM model. The power-law index of the primordial
power spectrum is n_s=0.968+-0.012, a measurement that excludes the
scale-invariant spectrum by 99.5%CL. The other parameters are also improved
from the 5-year results. Notable examples of improved parameters are the total
mass of neutrinos, sum(m_nu)<0.58eV, and the effective number of neutrino
species, N_eff=4.34+0.86-0.88. We detect the effect of primordial helium on the
temperature power spectrum and provide a new test of big bang nucleosynthesis.
We detect, and show on the map for the first time, the tangential and radial
polarization patterns around hot and cold spots of temperature fluctuations, an
important test of physical processes at z=1090 and the dominance of adiabatic
scalar fluctuations. With the 7-year TB power spectrum, the limit on a rotation
of the polarization plane due to potential parity-violating effects has
improved to Delta(alpha)=-1.1+-1.4(stat)+-1.5(syst) degrees. We report
significant detections of the SZ effect at the locations of known clusters of
galaxies. The measured SZ signal agrees well with the expected signal from the
X-ray data. However, it is a factor of 0.5 to 0.7 times the predictions from
""universal profile"" of Arnaud et al., analytical models, and hydrodynamical
simulations. We find, for the first time in the SZ effect, a significant
difference between the cooling-flow and non-cooling-flow clusters (or relaxed
and non-relaxed clusters), which can explain some of the discrepancy. This
lower amplitude is consistent with the lower-than-theoretically-expected SZ
power spectrum recently measured by the South Pole Telescope collaboration.
","E. Komatsu, K. M. Smith, J. Dunkley, C. L. Bennett, B. Gold, G.
  Hinshaw, N. Jarosik, D. Larson, M. R. Nolta, L. Page, D. N. Spergel, M.
  Halpern, R. S. Hill, A. Kogut, M. Limon, S. S. Meyer, N. Odegard, G. S.
  Tucker, J. L. Weiland, E. Wollack, E. L. Wright","Astrophys.J.Suppl.192:18,2011",Physics,Physics
2012,1001.4538,695,"Seven-Year Wilkinson Microwave Anisotropy Probe (WMAP) Observations:
  Cosmological Interpretation","  (Abridged) The 7-year WMAP data and improved astrophysical data rigorously
test the standard cosmological model and its extensions. By combining WMAP with
the latest distance measurements from BAO and H0 measurement, we determine the
parameters of the simplest LCDM model. The power-law index of the primordial
power spectrum is n_s=0.968+-0.012, a measurement that excludes the
scale-invariant spectrum by 99.5%CL. The other parameters are also improved
from the 5-year results. Notable examples of improved parameters are the total
mass of neutrinos, sum(m_nu)<0.58eV, and the effective number of neutrino
species, N_eff=4.34+0.86-0.88. We detect the effect of primordial helium on the
temperature power spectrum and provide a new test of big bang nucleosynthesis.
We detect, and show on the map for the first time, the tangential and radial
polarization patterns around hot and cold spots of temperature fluctuations, an
important test of physical processes at z=1090 and the dominance of adiabatic
scalar fluctuations. With the 7-year TB power spectrum, the limit on a rotation
of the polarization plane due to potential parity-violating effects has
improved to Delta(alpha)=-1.1+-1.4(stat)+-1.5(syst) degrees. We report
significant detections of the SZ effect at the locations of known clusters of
galaxies. The measured SZ signal agrees well with the expected signal from the
X-ray data. However, it is a factor of 0.5 to 0.7 times the predictions from
""universal profile"" of Arnaud et al., analytical models, and hydrodynamical
simulations. We find, for the first time in the SZ effect, a significant
difference between the cooling-flow and non-cooling-flow clusters (or relaxed
and non-relaxed clusters), which can explain some of the discrepancy. This
lower amplitude is consistent with the lower-than-theoretically-expected SZ
power spectrum recently measured by the South Pole Telescope collaboration.
","E. Komatsu, K. M. Smith, J. Dunkley, C. L. Bennett, B. Gold, G.
  Hinshaw, N. Jarosik, D. Larson, M. R. Nolta, L. Page, D. N. Spergel, M.
  Halpern, R. S. Hill, A. Kogut, M. Limon, S. S. Meyer, N. Odegard, G. S.
  Tucker, J. L. Weiland, E. Wollack, E. L. Wright","Astrophys.J.Suppl.192:18,2011",Physics,Physics
2012,1207.7214,475,"Observation of a new particle in the search for the Standard Model Higgs
  boson with the ATLAS detector at the LHC","  A search for the Standard Model Higgs boson in proton-proton collisions with
the ATLAS detector at the LHC is presented. The datasets used correspond to
integrated luminosities of approximately 4.8 fb^-1 collected at sqrt(s) = 7 TeV
in 2011 and 5.8 fb^-1 at sqrt(s) = 8 TeV in 2012. Individual searches in the
channels H->ZZ^(*)->llll, H->gamma gamma and H->WW->e nu mu nu in the 8 TeV
data are combined with previously published results of searches for H->ZZ^(*),
WW^(*), bbbar and tau^+tau^- in the 7 TeV data and results from improved
analyses of the H->ZZ^(*)->llll and H->gamma gamma channels in the 7 TeV data.
Clear evidence for the production of a neutral boson with a measured mass of
126.0 +/- 0.4(stat) +/- 0.4(sys) GeV is presented. This observation, which has
a significance of 5.9 standard deviations, corresponding to a background
fluctuation probability of 1.7x10^-9, is compatible with the production and
decay of the Standard Model Higgs boson.
",The ATLAS Collaboration,Phys.Lett. B716 (2012) 1-29,Physics,Physics
2013,1207.7214,872,"Observation of a new particle in the search for the Standard Model Higgs
  boson with the ATLAS detector at the LHC","  A search for the Standard Model Higgs boson in proton-proton collisions with
the ATLAS detector at the LHC is presented. The datasets used correspond to
integrated luminosities of approximately 4.8 fb^-1 collected at sqrt(s) = 7 TeV
in 2011 and 5.8 fb^-1 at sqrt(s) = 8 TeV in 2012. Individual searches in the
channels H->ZZ^(*)->llll, H->gamma gamma and H->WW->e nu mu nu in the 8 TeV
data are combined with previously published results of searches for H->ZZ^(*),
WW^(*), bbbar and tau^+tau^- in the 7 TeV data and results from improved
analyses of the H->ZZ^(*)->llll and H->gamma gamma channels in the 7 TeV data.
Clear evidence for the production of a neutral boson with a measured mass of
126.0 +/- 0.4(stat) +/- 0.4(sys) GeV is presented. This observation, which has
a significance of 5.9 standard deviations, corresponding to a background
fluctuation probability of 1.7x10^-9, is compatible with the production and
decay of the Standard Model Higgs boson.
",The ATLAS Collaboration,Phys.Lett. B716 (2012) 1-29,Physics,Physics
2014,1207.7214,754,"Observation of a new particle in the search for the Standard Model Higgs
  boson with the ATLAS detector at the LHC","  A search for the Standard Model Higgs boson in proton-proton collisions with
the ATLAS detector at the LHC is presented. The datasets used correspond to
integrated luminosities of approximately 4.8 fb^-1 collected at sqrt(s) = 7 TeV
in 2011 and 5.8 fb^-1 at sqrt(s) = 8 TeV in 2012. Individual searches in the
channels H->ZZ^(*)->llll, H->gamma gamma and H->WW->e nu mu nu in the 8 TeV
data are combined with previously published results of searches for H->ZZ^(*),
WW^(*), bbbar and tau^+tau^- in the 7 TeV data and results from improved
analyses of the H->ZZ^(*)->llll and H->gamma gamma channels in the 7 TeV data.
Clear evidence for the production of a neutral boson with a measured mass of
126.0 +/- 0.4(stat) +/- 0.4(sys) GeV is presented. This observation, which has
a significance of 5.9 standard deviations, corresponding to a background
fluctuation probability of 1.7x10^-9, is compatible with the production and
decay of the Standard Model Higgs boson.
",The ATLAS Collaboration,Phys.Lett. B716 (2012) 1-29,Physics,Physics
2015,1207.7214,732,"Observation of a new particle in the search for the Standard Model Higgs
  boson with the ATLAS detector at the LHC","  A search for the Standard Model Higgs boson in proton-proton collisions with
the ATLAS detector at the LHC is presented. The datasets used correspond to
integrated luminosities of approximately 4.8 fb^-1 collected at sqrt(s) = 7 TeV
in 2011 and 5.8 fb^-1 at sqrt(s) = 8 TeV in 2012. Individual searches in the
channels H->ZZ^(*)->llll, H->gamma gamma and H->WW->e nu mu nu in the 8 TeV
data are combined with previously published results of searches for H->ZZ^(*),
WW^(*), bbbar and tau^+tau^- in the 7 TeV data and results from improved
analyses of the H->ZZ^(*)->llll and H->gamma gamma channels in the 7 TeV data.
Clear evidence for the production of a neutral boson with a measured mass of
126.0 +/- 0.4(stat) +/- 0.4(sys) GeV is presented. This observation, which has
a significance of 5.9 standard deviations, corresponding to a background
fluctuation probability of 1.7x10^-9, is compatible with the production and
decay of the Standard Model Higgs boson.
",The ATLAS Collaboration,Phys.Lett. B716 (2012) 1-29,Physics,Physics
